CO,MQ135,Temperature,Humidity,CO2,TVOC,DustDensity
168,40.0,33.4,41.0,548.0,22.0,0.0
165,38.0,33.3,41.0,551.0,23.0,0.0
170,40.0,33.3,41.0,548.0,22.0,14.0
167,43.0,33.3,41.0,560.0,24.0,5.0
165,42.0,33.3,41.0,561.0,24.0,7.0
165,38.0,33.3,41.0,567.0,25.0,0.0
165,38.0,33.3,41.0,569.0,25.0,0.0
166,41.0,33.3,41.0,575.0,26.0,7.0
165,35.0,33.3,42.0,572.0,26.0,0.0
165,41.0,33.3,42.0,537.0,20.0,0.0
164,35.0,33.3,42.0,570.0,25.0,0.0
165,38.0,33.3,42.0,577.0,26.0,7.0
165,35.0,33.3,42.0,567.0,25.0,17.0
166,41.0,33.3,42.0,566.0,25.0,2.0
165,35.0,33.3,42.0,560.0,24.0,0.0
163,38.0,33.3,42.0,534.0,20.0,0.0
163,41.0,33.3,41.0,534.0,20.0,18.0
164,36.0,33.4,41.0,529.0,19.0,0.0
163,37.0,33.3,41.0,534.0,20.0,0.0
168,40.0,33.3,41.0,539.0,21.0,0.0
163,37.0,33.3,41.0,533.0,20.0,15.0
168,35.0,33.3,41.0,537.0,20.0,0.0
167,42.0,33.3,41.0,549.0,22.0,4.0
163,42.0,33.3,41.0,548.0,22.0,1.0
163,38.0,33.3,41.0,551.0,23.0,1.0
163,38.0,33.3,41.0,485.0,12.0,0.0
167,44.0,33.3,41.0,542.0,21.0,26.0
163,38.0,33.3,41.0,540.0,21.0,0.0
159,38.0,33.3,41.0,542.0,21.0,0.0
159,38.0,33.4,41.0,548.0,22.0,1.0
161,41.0,33.4,41.0,400.0,0.0,2.0
164,40.0,33.4,41.0,536.0,20.0,0.0
161,38.0,33.3,41.0,537.0,20.0,0.0
160,35.0,33.4,41.0,540.0,21.0,1.0
160,35.0,33.5,41.0,552.0,23.0,0.0
160,36.0,33.7,41.0,551.0,23.0,0.0
170,48.0,33.7,41.0,531.0,19.0,9.0
164,42.0,33.7,41.0,543.0,21.0,3.0
162,41.0,33.4,41.0,546.0,22.0,1.0
165,42.0,33.4,41.0,549.0,22.0,6.0
163,42.0,33.3,41.0,555.0,23.0,3.0
167,42.0,33.3,41.0,566.0,25.0,4.0
163,38.0,33.3,41.0,564.0,24.0,0.0
163,38.0,33.4,41.0,548.0,22.0,0.0
162,38.0,33.7,41.0,540.0,21.0,0.0
159,38.0,33.8,41.0,546.0,22.0,41.0
159,41.0,33.8,41.0,527.0,19.0,7.0
164,42.0,33.8,41.0,485.0,12.0,3.0
162,38.0,33.8,41.0,536.0,20.0,1.0
162,38.0,33.7,41.0,539.0,21.0,0.0
168,40.0,33.7,41.0,519.0,18.0,0.0
168,41.0,33.4,41.0,548.0,22.0,88.0
167,40.0,33.4,41.0,552.0,23.0,4.0
163,38.0,33.3,41.0,551.0,23.0,0.0
164,41.0,33.3,41.0,551.0,23.0,4.0
163,38.0,33.3,41.0,556.0,23.0,0.0
164,38.0,33.4,41.0,555.0,23.0,1.0
168,40.0,33.4,41.0,502.0,15.0,0.0
168,40.0,33.4,41.0,542.0,21.0,0.0
165,44.0,33.7,41.0,533.0,20.0,3.0
159,38.0,33.8,41.0,527.0,19.0,0.0
161,38.0,33.8,41.0,545.0,22.0,9.0
160,35.0,33.8,41.0,575.0,26.0,0.0
159,37.0,33.8,41.0,542.0,21.0,0.0
165,46.0,33.8,41.0,403.0,0.0,1.0
161,35.0,33.8,41.0,414.0,2.0,25.0
163,38.0,33.8,41.0,543.0,21.0,0.0
164,36.0,33.7,41.0,575.0,26.0,0.0
163,38.0,33.7,41.0,581.0,27.0,2.0
166,42.0,33.4,41.0,592.0,29.0,4.0
164,38.0,33.7,41.0,591.0,29.0,0.0
164,38.0,33.7,41.0,597.0,30.0,1.0
163,38.0,33.7,41.0,594.0,29.0,0.0
162,38.0,33.8,41.0,592.0,29.0,0.0
164,37.0,33.8,42.0,594.0,29.0,0.0
162,38.0,33.8,42.0,567.0,25.0,0.0
162,35.0,33.8,42.0,556.0,23.0,0.0
164,40.0,33.8,42.0,574.0,26.0,0.0
163,37.0,33.8,42.0,564.0,24.0,0.0
166,40.0,33.8,42.0,570.0,25.0,4.0
163,38.0,33.8,42.0,556.0,23.0,0.0
163,37.0,33.8,42.0,556.0,23.0,2.0
166,40.0,33.8,42.0,537.0,20.0,0.0
164,37.0,33.8,43.0,566.0,25.0,0.0
170,40.0,33.8,43.0,575.0,26.0,0.0
166,38.0,33.8,43.0,556.0,23.0,0.0
168,40.0,33.8,43.0,584.0,28.0,0.0
165,38.0,33.8,43.0,589.0,28.0,2.0
169,42.0,33.8,44.0,552.0,23.0,3.0
161,38.0,33.8,44.0,470.0,10.0,0.0
169,41.0,33.8,44.0,614.0,32.0,0.0
171,42.0,33.7,44.0,581.0,27.0,6.0
166,38.0,33.8,44.0,623.0,33.0,14.0
170,40.0,33.7,44.0,620.0,33.0,4.0
172,42.0,33.8,44.0,603.0,30.0,3.0
172,42.0,33.7,44.0,594.0,29.0,2.0
167,40.0,33.8,44.0,596.0,29.0,1.0
167,38.0,33.7,44.0,581.0,27.0,0.0
172,40.0,33.7,44.0,594.0,29.0,0.0
167,38.0,33.7,45.0,584.0,28.0,0.0
161,35.0,33.8,45.0,603.0,30.0,0.0
166,46.0,33.8,45.0,441.0,6.0,5.0
168,40.0,33.8,45.0,574.0,26.0,0.0
168,35.0,33.8,45.0,552.0,23.0,0.0
168,38.0,33.8,45.0,526.0,19.0,0.0
168,38.0,33.8,45.0,545.0,22.0,0.0
168,41.0,33.7,45.0,543.0,21.0,0.0
172,40.0,33.7,45.0,531.0,19.0,28.0
170,42.0,33.7,45.0,531.0,19.0,4.0
177,46.0,33.8,45.0,537.0,20.0,3.0
167,38.0,33.7,45.0,531.0,19.0,0.0
167,38.0,33.7,45.0,540.0,21.0,0.0
