OCCUPANCY,WINDOW,IAQ,CO2,RH,Tin,MONTH_NUM,CO2_x_OCCUPANCY,CO2_x_WINDOW,WINDOW_x_OCCUPANCY,Temp_x_RH,Air_Quality_Label
0,0,82.08,403.95,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,80.53,402.3,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,80.72,402.43,53.68,26.05,9,0.0,0.0,0,1398.364,Good
0,0,80.55,403.18,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,80.57,402.0,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,82.77,404.02,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,82.12,405.22,53.68,26.07,9,0.0,0.0,0,1399.4376,Good
0,0,81.43,406.08,53.68,26.07,9,0.0,0.0,0,1399.4376,Good
0,0,81.75,406.0,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,81.15,406.47,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,81.63,406.93,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,83.9,408.05,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,82.72,409.78,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,82.1,409.42,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,81.35,408.27,53.68,26.05,9,0.0,0.0,0,1398.364,Good
0,0,79.82,406.47,53.68,26.05,9,0.0,0.0,0,1398.364,Good
0,0,80.82,405.0,53.68,26.05,9,0.0,0.0,0,1398.364,Good
0,0,81.68,402.58,53.68,26.05,9,0.0,0.0,0,1398.364,Good
0,0,81.38,401.0,53.68,26.05,9,0.0,0.0,0,1398.364,Good
0,0,82.82,400.3,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,81.45,399.43,53.68,26.05,9,0.0,0.0,0,1398.364,Good
0,0,81.62,399.6,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,81.67,398.97,53.68,26.05,9,0.0,0.0,0,1398.364,Good
0,0,81.4,396.4,53.68,26.05,9,0.0,0.0,0,1398.364,Good
0,0,80.32,395.22,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,81.2,395.2,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,82.0,398.27,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,80.4,400.93,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,80.63,399.58,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,80.97,399.33,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,82.58,401.08,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,82.35,402.48,53.68,26.03,9,0.0,0.0,0,1397.2904,Good
0,0,82.52,403.53,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,80.43,404.43,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,82.05,404.92,53.68,26.03,9,0.0,0.0,0,1397.2904,Good
0,0,82.85,402.73,53.68,26.03,9,0.0,0.0,0,1397.2904,Good
0,0,83.4,402.5,53.68,26.03,9,0.0,0.0,0,1397.2904,Good
0,0,82.6,401.72,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,82.33,401.07,53.68,26.03,9,0.0,0.0,0,1397.2904,Good
0,0,82.88,400.57,53.68,26.03,9,0.0,0.0,0,1397.2904,Good
0,0,82.35,398.75,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,82.75,399.98,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
0,0,83.8,401.05,53.68,26.04,9,0.0,0.0,0,1397.8272,Good
