OCCUPANCY,WINDOW,CO2,RH,Tin,MONTH_NUM,CO2_x_OCCUPANCY,CO2_x_WINDOW,WINDOW_x_OCCUPANCY,Temp_x_RH
0,0,608.42,37.33,26.11,11,0.0,0.0,0,974.6863
1,0,1127.38,29.5,27.72,3,1127.38,0.0,0,817.74
1,0,1008.22,44.46,24.03,12,1008.22,0.0,0,1068.3738
1,0,1732.87,42.53,27.43,11,1732.87,0.0,0,1166.5979
0,0,1184.9,42.04,26.32,5,0.0,0.0,0,1106.4928
0,0,605.0,31.41,26.02,1,0.0,0.0,0,817.2882
0,0,877.87,38.56,24.47,5,0.0,0.0,0,943.5632
1,0,1403.4,41.61,27.25,5,1403.4,0.0,0,1133.8725
1,0,808.63,28.5,27.32,3,808.63,0.0,0,778.62
1,1,1193.18,31.85,27.39,1,1193.18,1193.18,1,872.3715000000001
0,0,863.58,41.85,26.28,10,0.0,0.0,0,1099.818
1,0,1610.17,51.04,28.36,9,1610.17,0.0,0,1447.4944
0,0,813.15,54.41,26.51,9,0.0,0.0,0,1442.4091
0,0,712.57,39.3,23.12,1,0.0,0.0,0,908.616
0,0,1561.8,41.86,26.35,11,0.0,0.0,0,1103.011
1,0,565.2,23.54,28.23,3,565.2,0.0,0,664.5341999999999
1,1,426.7,23.73,27.94,3,426.7,426.7,1,663.0162
1,0,435.73,47.46,26.27,6,435.73,0.0,0,1246.7742
0,0,367.7,28.28,25.9,3,0.0,0.0,0,732.452
1,0,1099.1,30.98,28.73,2,1099.1,0.0,0,890.0554000000001
1,0,1563.07,40.32,26.62,11,1563.07,0.0,0,1073.3184
0,0,822.57,32.47,25.2,1,0.0,0.0,0,818.2439999999999
0,0,1064.5,28.48,26.23,3,0.0,0.0,0,747.0304
0,0,360.05,29.46,26.06,2,0.0,0.0,0,767.7275999999999
1,0,1333.63,44.02,27.52,10,1333.63,0.0,0,1211.4304
0,0,1114.88,27.85,27.22,3,0.0,0.0,0,758.077
0,0,333.15,27.3,25.76,2,0.0,0.0,0,703.248
0,0,726.43,31.57,22.94,4,0.0,0.0,0,724.2158000000001
0,0,537.62,53.03,27.0,8,0.0,0.0,0,1431.81
0,0,1540.28,29.94,28.04,3,0.0,0.0,0,839.5176
0,0,337.53,26.98,25.97,2,0.0,0.0,0,700.6706
0,0,627.38,38.01,23.47,12,0.0,0.0,0,892.0946999999999
0,0,831.32,38.76,25.4,5,0.0,0.0,0,984.504
0,0,455.3,40.98,25.14,11,0.0,0.0,0,1030.2372
0,0,605.73,37.36,26.1,11,0.0,0.0,0,975.096
0,0,659.58,31.77,26.26,1,0.0,0.0,0,834.2802
0,0,1030.78,52.24,25.35,9,0.0,0.0,0,1324.284
1,0,1167.88,33.31,27.67,1,1167.88,0.0,0,921.6877
0,0,590.92,38.59,23.11,12,0.0,0.0,0,891.8149000000001
1,0,2050.68,42.03,27.38,11,2050.68,0.0,0,1150.7814
0,0,833.58,32.48,25.25,1,0.0,0.0,0,820.1199999999999
0,0,637.28,41.04,25.3,10,0.0,0.0,0,1038.312
1,0,455.02,21.14,26.89,3,455.02,0.0,0,568.4546
0,0,585.43,26.44,26.99,3,0.0,0.0,0,713.6156
0,0,725.55,38.71,26.53,10,0.0,0.0,0,1026.9763
1,0,1090.82,43.57,22.62,12,1090.82,0.0,0,985.5534
0,0,358.92,45.89,28.56,10,0.0,0.0,0,1310.6184
0,0,1066.67,43.49,25.58,10,0.0,0.0,0,1112.4742
0,0,572.65,32.02,21.21,4,0.0,0.0,0,679.1442000000001
0,0,460.28,28.29,26.64,4,0.0,0.0,0,753.6456
0,0,402.53,33.75,25.29,4,0.0,0.0,0,853.5375
0,0,539.3,30.65,27.27,4,0.0,0.0,0,835.8254999999999
1,0,1209.57,33.12,27.76,1,1209.57,0.0,0,919.4112
0,0,413.45,31.77,24.48,1,0.0,0.0,0,777.7296
0,0,560.05,36.66,19.51,3,0.0,0.0,0,715.2366
0,0,367.47,50.2,24.99,9,0.0,0.0,0,1254.498
1,0,1053.2,38.22,26.87,11,1053.2,0.0,0,1026.9714
0,0,1129.95,33.09,26.72,1,0.0,0.0,0,884.1648
0,0,566.38,24.53,27.48,2,0.0,0.0,0,674.0844000000001
0,0,888.9,38.94,24.59,11,0.0,0.0,0,957.5346
1,0,614.7,32.79,24.55,2,614.7,0.0,0,804.9945
0,0,1247.95,42.51,27.11,10,0.0,0.0,0,1152.4461
0,0,813.75,32.45,25.84,1,0.0,0.0,0,838.508
0,0,727.73,31.86,25.67,1,0.0,0.0,0,817.8462000000001
1,1,1066.65,34.69,23.59,2,1066.65,1066.65,1,818.3371
0,0,540.07,44.36,21.91,11,0.0,0.0,0,971.9276
1,0,1122.3,27.74,28.15,3,1122.3,0.0,0,780.881
0,0,889.82,31.32,26.45,2,0.0,0.0,0,828.414
0,0,594.73,42.44,23.04,12,0.0,0.0,0,977.8176
0,0,1163.6,33.29,26.56,1,0.0,0.0,0,884.1823999999999
1,0,1753.37,41.05,27.53,11,1753.37,0.0,0,1130.1065
0,0,571.67,24.42,27.61,2,0.0,0.0,0,674.2362
1,0,1440.73,38.64,28.13,11,1440.73,0.0,0,1086.9432
0,0,1725.13,45.02,27.7,10,0.0,0.0,0,1247.054
0,0,990.48,39.92,25.54,11,0.0,0.0,0,1019.5568
1,0,1090.88,46.34,29.31,5,1090.88,0.0,0,1358.2254
1,0,1310.55,43.48,26.34,10,1310.55,0.0,0,1145.2632
0,0,527.02,27.47,29.73,4,0.0,0.0,0,816.6831
0,0,564.73,32.24,21.08,4,0.0,0.0,0,679.6192
0,0,1025.35,40.02,25.54,11,0.0,0.0,0,1022.1108
0,0,375.17,34.61,23.33,11,0.0,0.0,0,807.4513
1,0,1207.73,29.33,28.72,3,1207.73,0.0,0,842.3575999999999
0,0,821.28,38.83,25.34,5,0.0,0.0,0,983.9522
0,0,1138.38,39.34,25.29,11,0.0,0.0,0,994.9086
0,0,1006.6,28.2,27.9,3,0.0,0.0,0,786.78
0,0,868.18,35.4,26.32,4,0.0,0.0,0,931.728
1,0,1138.33,32.63,27.65,1,1138.33,0.0,0,902.2195
0,0,551.48,32.86,21.9,4,0.0,0.0,0,719.6339999999999
0,0,674.92,45.73,28.14,5,0.0,0.0,0,1286.8422
0,0,790.55,45.19,23.93,11,0.0,0.0,0,1081.3967
1,0,1645.85,42.64,27.2,11,1645.85,0.0,0,1159.808
0,0,748.55,38.28,26.21,10,0.0,0.0,0,1003.3188
1,0,732.82,39.38,23.13,1,732.82,0.0,0,910.8594
